target_id	day0_1_count	day0_1_tpm	day0_2_count	day0_2_tpm	day0_3_count	day0_3_tpm	day1_1_count	day1_1_tpm	day1_2_count	day1_2_tpm	day1_3_count	day1_3_tpm	day2_1_count	day2_1_tpm	day2_2_count	day2_2_tpm	day2_3_count	day2_3_tpm
FBtr0075370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0299571	1155.98	6.38322	1579.24	7.64596	1488.21	7.59115	719.076	2.75901	614.4	2.26922	819.2	2.78228	1064.96	3.95289	919.324	2.8645	1001.24	3.05914
FBtr0305650	733.018	7.2209	1158.76	10.0085	1218.79	11.0907	917.924	6.28309	999.6	6.58627	1006.8	6.10018	251.04	1.66231	520.676	2.89424	482.756	2.63133
FBtr0077280	1	0.00218994	0	0	0	0	0	0	0	0	0	0	2	0.00294412	0	0	0	0
FBtr0302037	0	0	0	0	0	0	0	0	1	0.000706658	0	0	0	0	0	0	0	0
FBtr0332312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0070731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0332313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0339168	47	0.177409	100	0.330958	88	0.306841	22	0.0577017	33	0.0833158	66	0.15323	46	0.116715	10.1758	0.0216739	49	0.10234
FBtr0081977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.8242	0.106127	0	0
FBtr0075444	0	0	0	0	0	0	0	0	29.284	0.0177489	0	0	0	0	0	0	0	0
FBtr0333598	171.136	0.128577	256.911	0.16924	339.988	0.235962	47.3796	0.0247346	56.8332	0.0285603	123.249	0.056955	34.4184	0.0173823	75.9107	0.0321824	135.833	0.056468
FBtr0302503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0088587	2480	4.06228	3531	5.07121	3436	5.19906	1551	1.7653	2085	2.28434	1949	1.9636	1186	1.30586	1405	1.29863	1356	1.22899
FBtr0088588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0343768	4	0.00689564	0	0	0	0	0	0	0	0	9	0.00954289	1	0.0011588	0	0	0	0
FBtr0080894	0	0	5	0.0084893	0	0	0	0	4.65227	0.0060257	0	0	0	0	0	0	11	0.0117861
FBtr0088564	103	0.197963	197	0.331977	163	0.289393	68	0.0908122	68	0.0874161	82	0.0969354	82	0.105938	94	0.101945	129	0.137185
FBtr0307115	29	0.0333425	40	0.0403233	52	0.0552277	14	0.0111845	17.7861	0.0136779	36	0.0254581	30	0.0231854	25	0.0162192	33	0.0209935
FBtr0110884	0	0	0	0	0	0	0	0	15.2139	0.0109307	0	0	0	0	0	0	0	0
FBtr0302226	594.572	0.449701	984.252	0.652713	1366.84	0.954974	181.66	0.0954701	360.052	0.182147	286.098	0.133093	150.219	0.0763724	171.179	0.073057	363.948	0.152311
FBtr0302227	39.81	0.0349755	7.36305	0.00567187	45.2994	0.0367637	0	0	63.9811	0.0375977	8.43473	0.00455792	0	0	0	0	6.90578	0.00335704
FBtr0346683	138.309	0.146562	341.192	0.317007	338.429	0.331279	70.6701	0.0520353	85.4833	0.0605886	159.234	0.103784	166.891	0.118877	278.41	0.166475	100.573	0.0589692
FBtr0334938	138.309	0.146562	341.192	0.317007	338.429	0.331279	70.6701	0.0520353	85.4833	0.0605886	159.234	0.103784	166.891	0.118877	278.41	0.166475	100.573	0.0589692
FBtr0081199	18	0.0555566	26	0.0703611	36	0.102641	7	0.0150124	6	0.0123866	3	0.00569518	4	0.00829882	4	0.00696649	4	0.00683116
FBtr0077013	12	0.115005	9	0.0756267	12	0.106236	47	0.312985	10	0.0641023	9	0.053052	43	0.277012	27	0.146013	36	0.190902
FBtr0301411	0	0	184.554	0.316162	0.000218179	3.94E-07	0	0	139.412	0.182192	208.115	0.250102	67.101	0.0881277	0.159746	0.000176121	0.000238111	2.57E-07
FBtr0072143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0072144	7.75117	0.0132733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0072142	414.249	0.814444	430.446	0.742018	664	1.20593	301	0.411202	244.588	0.321641	152.885	0.184879	228.899	0.302508	396.84	0.440257	404	0.439493
FBtr0343279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0086637	0	0	0	0	24.2429	0.0373091	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0086636	689	1.19727	1092	1.66376	893.757	1.43464	287	0.346531	561	0.652035	640	0.684028	199	0.232443	360	0.352991	383	0.368248
FBtr0331814	27.9101	0.0282318	55.8203	0.0495068	77.3752	0.072299	8.81833	0.00619802	17.0005	0.011502	11.7067	0.00728341	9.65195	0.00656274	0	0	15.1868	0.00849989
FBtr0310654	0	0	0	0	16.7213	0.0174192	12.7933	0.0100248	7.43967	0.0056117	0	0	0	0	3.10712	0.00197721	0	0
